Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2017","2017","t","2.1"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2018","2018","t","13"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01349.20","Other stone fruits","2016","2016","t","47523.99"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01349.20","Other stone fruits","2017","2017","t","48136.8"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01349.20","Other stone fruits","2018","2018","t","48203.94"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2016","2016","t","1324882.6"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2017","2017","t","712123.7"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2018","2018","t","742888.49"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01345","Peaches and nectarines","2016","2016","t","15306"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01345","Peaches and nectarines","2017","2017","t","62066"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01345","Peaches and nectarines","2018","2018","t","47935"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01342.01","Pears","2016","2016","t","5226"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01342.01","Pears","2017","2017","t","8381.39"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01342.01","Pears","2018","2018","t","10469.45"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01375","Pistachios, in shell","2016","2016","t","2758.73"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01375","Pistachios, in shell","2017","2017","t","2757.06"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01375","Pistachios, in shell","2018","2018","t","2777.44"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01346","Plums and sloes","2016","2016","t","18504"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01346","Plums and sloes","2017","2017","t","31844.35"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01346","Plums and sloes","2018","2018","t","35971.14"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01510","Potatoes","2016","2016","t","427917"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01510","Potatoes","2017","2017","t","513194"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01510","Potatoes","2018","2018","t","615684"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02951.01","Raw hides and skins of cattle","2016","2016","t","17651.62"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02951.01","Raw hides and skins of cattle","2017","2017","t","19001.17"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02951.01","Raw hides and skins of cattle","2018","2018","t","15779.29"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02954","Raw hides and skins of goats or kids","2016","2016","t","6713.77"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02954","Raw hides and skins of goats or kids","2017","2017","t","6893.98"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02954","Raw hides and skins of goats or kids","2018","2018","t","6954.25"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02953","Raw hides and skins of sheep or lambs","2016","2016","t","17047.51"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02953","Raw hides and skins of sheep or lambs","2017","2017","t","17818.95"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02953","Raw hides and skins of sheep or lambs","2018","2018","t","17416.67"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02293","Raw milk of camel","2016","2016","t","6833.91"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02293","Raw milk of camel","2017","2017","t","6899.65"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02293","Raw milk of camel","2018","2018","t","6886.89"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02211","Raw milk of cattle","2016","2016","t","1848155.64"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02211","Raw milk of cattle","2017","2017","t","1765609.07"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02211","Raw milk of cattle","2018","2018","t","1828222.9"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02292","Raw milk of goats","2016","2016","t","112761.88"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02292","Raw milk of goats","2017","2017","t","114208.27"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02292","Raw milk of goats","2018","2018","t","115857.22"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02291","Raw milk of sheep","2016","2016","t","200500.81"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02291","Raw milk of sheep","2017","2017","t","206834.7"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02291","Raw milk of sheep","2018","2018","t","203035.89"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0113","Rice","2016","2016","t","532200"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0113","Rice","2017","2017","t","505100"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0113","Rice","2018","2018","t","525500"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2016","2016","t","58996"
